transcript_id,speaker,language,timestamp,text,duration_sec
T001,Speaker A,English,9/7/2026 13:55,The customer confirmed that the issue has now been resolved. I am following up on the request you submitted yesterday.,51
T002,Speaker E,EN,9/4/2026 0:31,??? ###,80
T003,speaker E,English,9/6/2026 3:33,I am following up on the request you submitted yesterday.,9999
T004,Speaker D,Hausa,9/6/2026 4:24,Za mu aika da sabon bayani bayan mun kammala binciken. Na gode da kiran ku. Ta yaya zan taimaka muku yau?,65
T005,Speaker C,Yoruba,9/2/2026 10:19,A ti jiroro oro naa ati pe a o kan si yin lola. Onibara ti fi idi re mule pe isoro naa ti yanju.,0
T006,Speaker A,Igbo,9/4/2026 9:13,Onye ahịa kwadoro na edoziwo nsogbu ahụ.,179
T007,Speaker D,English,9/7/2026 15:44,We discussed the next steps and agreed to send an update tomorrow. Please provide your reference number so I can check the record.,45
T008,Speaker E,Yoruba,9/1/2026 21:30,Onibara ti fi idi re mule pe isoro naa ti yanju.,42
T009,speaker C ,Hausa,9/5/2026 16:47,N/A ???,50
T010,Speaker D,Yoruba ,9/4/2026 9:54,Onibara ti fi idi re mule pe isoro naa ti yanju. Onibara ti fi idi re mule pe isoro naa ti yanju.,78
T011,Speaker E,English,9/3/2026 5:37,I am following up on the request you submitted yesterday.,87
T012,Speaker D,Igbo,9/3/2026 20:58,xxxyyyzzz,167
T013,speaker a,YO,9/5/2026 22:32,A ti jiroro oro naa ati pe a o kan si yin lola.,105
T014,Speaker A,Yoruba,9/4/2026 22:55,A ti jiroro oro naa ati pe a o kan si yin lola.,170
T015,Speaker D,Hausa,9/3/2026 0:00,Don Allah a ba ni lambar bayanin ku domin in duba.,142
T016,Speaker B,Yoruba,9/4/2026 8:44,A ti jiroro oro naa ati pe a o kan si yin lola.,162
T017,Speaker E,Igbo,Sept 5 2026 10:00,Biko nye m nọmba ntụaka gị ka m nwee ike lelee ya.,60
T018,Speaker A,Igbo,9/3/2026 4:41,Okay.,64
T019,Speaker E,Igbo,9/6/2026 16:48,Yes.,
T020,Speaker E,Yoruba,9/7/2026 11:37,,54
T021,Speaker C,Yoruba,9/3/2026 8:15,E se fun pipe wa. Bawo ni mo se le ran yin lowo loni? A ti jiroro oro naa ati pe a o kan si yin lola.,141
T022,Speaker E,Yoruba,9/4/2026 18:29,A ti jiroro oro naa ati pe a o kan si yin lola.,52
T023,Speaker B,Hausa,9/7/2026 9:49,Abokin ciniki ya tabbatar cewa an warware matsalar.,163
T024,Speaker E,English,9/5/2026 12:07,The customer confirmed that the issue has now been resolved.,53
